review_id,product_id,seller_id,rating,text,created_at
R-000001,P-1001,S-01,3.0,Received the item. Packaging ok.,2026-01-26T04:45:00
R-000002,P-1001,S-01,4.0,"Great quality, works perfectly, fast delivery.",2026-01-26T03:11:00
R-000003,P-1001,S-01,4.0,"Great quality, works perfectly, fast delivery.",2026-01-26T22:10:00
R-000004,P-1002,S-01,4.0,"Excellent product, very satisfied, recommend!",2026-01-26T05:26:00
R-000005,P-1002,S-02,5.0,"Great quality, works perfectly, fast delivery.",2026-01-26T03:29:00
R-000006,P-1001,S-02,2.0,"Terrible experience, not working, refund requested.",2026-01-26T01:28:00
R-000007,P-1002,S-01,3.0,Delivery on time. Product as described.,2026-01-26T18:50:00
R-000008,P-1002,S-02,4.0,"Nice item, good packaging, happy with purchase.",2026-01-26T01:33:00
R-000009,P-1001,S-02,3.0,Received the item. Packaging ok.,2026-01-26T12:58:00
R-000010,P-1002,S-02,4.0,"Excellent product, very satisfied, recommend!",2026-01-26T12:38:00
R-000011,P-1002,S-01,4.0,"Nice item, good packaging, happy with purchase.",2026-01-26T20:47:00
R-000012,P-1001,S-01,2.0,"Terrible experience, not working, refund requested.",2026-01-26T21:50:00
R-000013,P-1001,S-02,3.0,Received the item. Packaging ok.,2026-01-26T01:05:00
R-000014,P-1002,S-02,5.0,"Great quality, works perfectly, fast delivery.",2026-01-26T07:15:00
R-000015,P-1002,S-02,4.0,Normal quality for the price.,2026-01-26T04:52:00
R-000016,P-1002,S-01,5.0,"Nice item, good packaging, happy with purchase.",2026-01-26T19:57:00
R-000017,P-1002,S-02,5.0,"Great quality, works perfectly, fast delivery.",2026-01-26T03:06:00
R-000018,P-1001,S-01,2.0,"Bad quality, arrived damaged, disappointed.",2026-01-26T20:21:00
R-000019,P-1001,S-02,5.0,"Excellent product, very satisfied, recommend!",2026-01-26T18:53:00
R-000020,P-1001,S-01,5.0,"Nice item, good packaging, happy with purchase.",2026-01-26T21:52:00
R-000021,P-1002,S-01,5.0,"Great quality, works perfectly, fast delivery.",2026-01-27T00:06:00
R-000022,P-1002,S-01,5.0,"Great quality, works perfectly, fast delivery.",2026-01-27T21:48:00
R-000023,P-1001,S-01,4.0,"Great quality, works perfectly, fast delivery.",2026-01-27T20:26:00
R-000024,P-1002,S-02,2.0,"Terrible experience, not working, refund requested.",2026-01-27T08:10:00
R-000025,P-1001,S-01,3.0,Received the item. Packaging ok.,2026-01-27T16:35:00
R-000026,P-1001,S-01,1.0,"Terrible experience, not working, refund requested.",2026-01-27T09:02:00
R-000027,P-1002,S-01,3.0,Normal quality for the price.,2026-01-27T10:38:00
R-000028,P-1002,S-02,5.0,"Nice item, good packaging, happy with purchase.",2026-01-27T04:07:00
R-000029,P-1001,S-01,1.0,"Bad quality, arrived damaged, disappointed.",2026-01-27T20:05:00
R-000030,P-1001,S-01,1.0,"Awful, looks fake, waste of money.",2026-01-27T07:48:00
R-000031,P-1001,S-01,3.0,Received the item. Packaging ok.,2026-01-27T09:30:00
R-000032,P-1002,S-01,5.0,"Nice item, good packaging, happy with purchase.",2026-01-27T08:17:00
R-000033,P-1002,S-02,5.0,"Great quality, works perfectly, fast delivery.",2026-01-27T12:05:00
R-000034,P-1002,S-02,4.0,"Nice item, good packaging, happy with purchase.",2026-01-27T22:59:00
R-000035,P-1001,S-01,4.0,"Excellent product, very satisfied, recommend!",2026-01-27T08:29:00
R-000036,P-1001,S-01,5.0,"Great quality, works perfectly, fast delivery.",2026-01-27T06:15:00
R-000037,P-1002,S-02,5.0,"Great quality, works perfectly, fast delivery.",2026-01-27T18:47:00
R-000038,P-1001,S-01,4.0,"Nice item, good packaging, happy with purchase.",2026-01-27T03:11:00
